Track,Position,Team,Starting Grid,kaggle_driver_id,raceId,finished,dnf,laps_down,time_gap_sec
United States,20,Kick Sauber Ferrari,18,822,1077,1.0,0.0,0.0,54.476
Brazil,1,McLaren Mercedes,2,846,1077,1.0,0.0,0.0,0.0
Brazil,2,McLaren Mercedes,1,857,1077,1.0,0.0,0.0,0.593
Brazil,3,Ferrari,3,844,1077,1.0,0.0,0.0,5.656
Brazil,4,Red Bull Racing Honda RBPT,4,830,1077,1.0,0.0,0.0,6.497
Brazil,5,Ferrari,5,832,1077,1.0,0.0,0.0,7.224
Brazil,6,Mercedes,6,847,1077,1.0,0.0,0.0,12.475
Brazil,7,Alpine Renault,7,842,1077,1.0,0.0,0.0,18.161
Brazil,8,Red Bull Racing Honda RBPT,13,815,1077,1.0,0.0,0.0,18.717
Brazil,9,RB Honda RBPT,8,859,1077,1.0,0.0,0.0,20.773
Brazil,10,Williams Mercedes,9,848,1077,1.0,0.0,0.0,24.606
Brazil,11,Mercedes,11,1,1077,1.0,0.0,0.0,29.764
Brazil,12,Williams Mercedes,14,861,1077,1.0,0.0,0.0,33.233
Brazil,13,Alpine Renault,16,839,1077,1.0,0.0,0.0,34.128
Brazil,14,Haas Ferrari,10,860,1077,1.0,0.0,0.0,35.507
Brazil,15,RB Honda RBPT,17,852,1077,1.0,0.0,0.0,41.374
Brazil,16,Kick Sauber Ferrari,15,822,1077,1.0,0.0,0.0,43.231
Brazil,17,Kick Sauber Ferrari,20,855,1077,1.0,0.0,0.0,54.139
Brazil,18,Aston Martin Aramco Mercedes,18,4,1077,1.0,0.0,0.0,56.537
Brazil,19,Aston Martin Aramco Mercedes,19,840,1077,1.0,0.0,0.0,57.983
Brazil,NC,Haas Ferrari,12,807,1077,0.0,1.0,,
Qatar,1,McLaren Mercedes,3,857,1077,1.0,0.0,0.0,0.0
Qatar,2,McLaren Mercedes,1,846,1077,1.0,0.0,0.0,0.136
Qatar,3,Mercedes,2,847,1077,1.0,0.0,0.0,0.41
Qatar,4,Ferrari,4,832,1077,1.0,0.0,0.0,1.326
Qatar,5,Ferrari,5,844,1077,1.0,0.0,0.0,5.073
Qatar,6,Mercedes,7,1,1077,1.0,0.0,0.0,5.65
Qatar,7,Haas Ferrari,9,807,1077,1.0,0.0,0.0,8.508
Qatar,8,Red Bull Racing Honda RBPT,6,830,1077,1.0,0.0,0.0,10.368
Qatar,9,Alpine Renault,8,842,1077,1.0,0.0,0.0,14.513
Qatar,10,Haas Ferrari,15,825,1077,1.0,0.0,0.0,15.485
Qatar,11,Aston Martin Aramco Mercedes,11,4,1077,1.0,0.0,0.0,19.24
Qatar,12,Kick Sauber Ferrari,13,822,1077,1.0,0.0,0.0,23.351
Qatar,13,Aston Martin Aramco Mercedes,14,840,1077,1.0,0.0,0.0,24.421
Qatar,14,Alpine Renault,17,839,1077,1.0,0.0,0.0,30.379
Qatar,15,Williams Mercedes,12,848,1077,1.0,0.0,0.0,33.062
Qatar,16,RB Honda RBPT,10,859,1077,1.0,0.0,0.0,34.356
Qatar,17,RB Honda RBPT,16,852,1077,1.0,0.0,0.0,35.102
Qatar,18,Williams Mercedes,20,861,1077,1.0,0.0,0.0,35.639
Qatar,19,Kick Sauber Ferrari,18,855,1077,1.0,0.0,0.0,71.436
Qatar,20,Red Bull Racing Honda RBPT,19,815,1077,1.0,0.0,0.0,74.371
