Position,Starting Grid,kaggle_driver_id,raceId,year,Team,Track,rain,sunny,quali_position,participated_q2,participated_q3,q1_time_sec,q2_time_sec,q3_time_sec
7,9.0,832,1013,2019,McLaren,Azerbaijan,0,1,10.0,1.0,0.0,101.936,102.398,
8,7.0,846,1013,2019,McLaren,Azerbaijan,0,1,7.0,1.0,1.0,102.371,102.084,101.886
9,13.0,840,1013,2019,Racing Point,Azerbaijan,0,1,14.0,0.0,0.0,102.63,,
10,19.0,8,1013,2019,Alfa Romeo,Azerbaijan,0,1,19.0,0.0,0.0,,,
11,11.0,848,1013,2019,Red Bull Racing,Azerbaijan,0,1,12.0,1.0,0.0,102.154,102.494,
12,17.0,841,1013,2019,Alfa Romeo,Azerbaijan,0,1,8.0,1.0,1.0,102.14,102.381,102.424
13,12.0,825,1013,2019,Haas,Azerbaijan,0,1,13.0,1.0,0.0,102.382,102.699,
14,15.0,807,1013,2019,Renault,Azerbaijan,0,1,16.0,0.0,0.0,103.427,,
15,16.0,847,1013,2019,Williams,Azerbaijan,0,1,17.0,0.0,0.0,105.062,,
16,18.0,9,1013,2019,Williams,Azerbaijan,0,1,18.0,0.0,0.0,105.455,,
21,20.0,842,1013,2019,Toro Rosso,Azerbaijan,0,1,20.0,0.0,0.0,,,
21,14.0,154,1013,2019,Haas,Azerbaijan,0,1,15.0,0.0,0.0,103.407,,
21,6.0,826,1013,2019,Toro Rosso,Azerbaijan,0,1,6.0,1.0,1.0,102.324,102.221,101.681
21,10.0,817,1013,2019,Renault,Azerbaijan,0,1,11.0,1.0,0.0,102.486,102.477,
1,2.0,1,1014,2019,Mercedes,Spain,0,1,2.0,1.0,1.0,77.292,76.038,76.03999999999999
2,1.0,822,1014,2019,Mercedes,Spain,0,1,1.0,1.0,1.0,76.979,75.924,75.406
3,4.0,830,1014,2019,Red Bull Racing,Spain,0,1,4.0,1.0,1.0,77.244,76.726,76.357
4,3.0,20,1014,2019,Ferrari,Spain,0,1,3.0,1.0,1.0,77.425,76.667,76.27199999999999
5,5.0,844,1014,2019,Ferrari,Spain,0,1,5.0,1.0,1.0,77.388,76.714,76.588
6,6.0,842,1014,2019,Toro Rosso,Spain,0,1,6.0,1.0,1.0,77.862,76.932,76.708
7,8.0,825,1014,2019,Haas,Spain,0,1,8.0,1.0,1.0,77.669,77.27199999999999,76.922
8,12.0,832,1014,2019,McLaren,Spain,0,1,13.0,1.0,0.0,77.76,77.599,
9,9.0,826,1014,2019,Toro Rosso,Spain,0,1,9.0,1.0,1.0,77.914,77.243,77.57300000000001
10,7.0,154,1014,2019,Haas,Spain,0,1,7.0,1.0,1.0,78.042,77.066,76.911
11,11.0,848,1014,2019,Red Bull Racing,Spain,0,1,12.0,1.0,0.0,77.79599999999999,77.445,
12,13.0,817,1014,2019,Renault,Spain,0,1,10.0,1.0,1.0,78.385,77.299,78.106
13,20.0,807,1014,2019,Renault,Spain,0,1,16.0,0.0,0.0,78.404,,
14,14.0,8,1014,2019,Alfa Romeo,Spain,0,1,14.0,1.0,0.0,78.132,77.788,
15,15.0,815,1014,2019,Racing Point,Spain,0,1,15.0,1.0,0.0,78.286,77.886,
16,18.0,841,1014,2019,Alfa Romeo,Spain,0,1,18.0,0.0,0.0,78.664,,
17,19.0,847,1014,2019,Williams,Spain,0,1,19.0,0.0,0.0,79.072,,
18,17.0,9,1014,2019,Williams,Spain,0,1,20.0,0.0,0.0,80.254,,
21,16.0,840,1014,2019,Racing Point,Spain,0,1,17.0,0.0,0.0,78.471,,
21,10.0,846,1014,2019,McLaren,Spain,0,1,11.0,1.0,0.0,77.611,77.338,
1,1.0,1,1015,2019,Mercedes,Monaco,1,0,1.0,1.0,1.0,71.542,70.83500000000001,70.166
2,4.0,20,1015,2019,Ferrari,Monaco,1,0,4.0,1.0,1.0,71.434,71.227,70.947
3,2.0,822,1015,2019,Mercedes,Monaco,1,0,2.0,1.0,1.0,71.562,70.701,70.252
4,3.0,830,1015,2019,Red Bull Racing,Monaco,1,0,3.0,1.0,1.0,71.597,70.618,70.641
5,8.0,842,1015,2019,Toro Rosso,Monaco,1,0,5.0,1.0,1.0,71.74,71.457,71.041
6,9.0,832,1015,2019,McLaren,Monaco,1,0,9.0,1.0,1.0,71.872,71.608,71.417
7,7.0,826,1015,2019,Toro Rosso,Monaco,1,0,8.0,1.0,1.0,71.602,71.412,71.271
8,10.0,848,1015,2019,Red Bull Racing,Monaco,1,0,10.0,1.0,1.0,72.007,71.429,71.653
9,6.0,817,1015,2019,Renault,Monaco,1,0,7.0,1.0,1.0,71.767,71.543,71.218
10,13.0,154,1015,2019,Haas,Monaco,1,0,13.0,1.0,0.0,71.837,72.027,
11,12.0,846,1015,2019,McLaren,Monaco,1,0,12.0,1.0,0.0,71.845,71.724,
12,16.0,815,1015,2019,Racing Point,Monaco,1,0,17.0,0.0,0.0,72.233,,
13,11.0,807,1015,2019,Renault,Monaco,1,0,11.0,1.0,0.0,72.097,71.67,
14,5.0,825,1015,2019,Haas,Monaco,1,0,6.0,1.0,1.0,71.865,71.363,71.109
15,19.0,847,1015,2019,Williams,Monaco,1,0,19.0,0.0,0.0,73.477,,
16,17.0,840,1015,2019,Racing Point,Monaco,1,0,18.0,0.0,0.0,72.846,,
17,14.0,8,1015,2019,Alfa Romeo,Monaco,1,0,14.0,1.0,0.0,71.993,72.115,
18,20.0,9,1015,2019,Williams,Monaco,1,0,20.0,0.0,0.0,73.751,,
19,18.0,841,1015,2019,Alfa Romeo,Monaco,1,0,15.0,1.0,0.0,71.976,72.185,
21,15.0,844,1015,2019,Ferrari,Monaco,1,0,16.0,0.0,0.0,72.149,,
1,2.0,1,1016,2019,Mercedes,Canada,0,1,2.0,1.0,1.0,71.518,71.01,70.446
2,1.0,20,1016,2019,Ferrari,Canada,0,1,1.0,1.0,1.0,71.2,71.142,70.24
3,3.0,844,1016,2019,Ferrari,Canada,0,1,3.0,1.0,1.0,71.214,71.205,70.92
4,6.0,822,1016,2019,Mercedes,Canada,0,1,6.0,1.0,1.0,71.229,71.095,71.101
5,9.0,830,1016,2019,Red Bull Racing,Canada,0,1,11.0,1.0,0.0,71.619,71.8,
6,4.0,817,1016,2019,Renault,Canada,0,1,4.0,1.0,1.0,71.837,71.532,71.071
7,7.0,807,1016,2019,Renault,Canada,0,1,7.0,1.0,1.0,71.72,71.553,71.324
8,5.0,842,1016,2019,Toro Rosso,Canada,0,1,5.0,1.0,1.0,72.023,71.196,71.07900000000001
9,17.0,840,1016,2019,Racing Point,Canada,0,1,18.0,0.0,0.0,72.266,,
10,10.0,826,1016,2019,Toro Rosso,Canada,0,1,12.0,1.0,0.0,71.965,71.92099999999999,
11,11.0,832,1016,2019,McLaren,Canada,0,1,9.0,1.0,1.0,71.75,71.572,73.981
12,15.0,815,1016,2019,Racing Point,Canada,0,1,16.0,0.0,0.0,72.197,,
13,12.0,841,1016,2019,Alfa Romeo,Canada,0,1,13.0,1.0,0.0,72.122,72.136,
14,14.0,154,1016,2019,Haas,Canada,0,1,15.0,0.0,0.0,72.109,,
15,16.0,8,1016,2019,Alfa Romeo,Canada,0,1,17.0,0.0,0.0,72.23,,
16,18.0,847,1016,2019,Williams,Canada,0,1,19.0,0.0,0.0,73.617,,
17,20.0,825,1016,2019,Haas,Canada,0,1,10.0,1.0,0.0,72.107,71.786,
18,19.0,9,1016,2019,Williams,Canada,0,1,20.0,0.0,0.0,74.393,,
21,13.0,848,1016,2019,Red Bull Racing,Canada,0,1,14.0,1.0,0.0,72.02,72.193,
21,8.0,846,1016,2019,McLaren,Canada,0,1,8.0,1.0,1.0,71.78,71.735,71.863
1,1.0,1,1017,2019,Mercedes,France,0,1,1.0,1.0,1.0,90.609,89.52,88.319
2,2.0,822,1017,2019,Mercedes,France,0,1,2.0,1.0,1.0,90.55,89.437,88.605
3,3.0,844,1017,2019,Ferrari,France,0,1,3.0,1.0,1.0,90.647,89.699,88.965
4,4.0,830,1017,2019,Red Bull Racing,France,0,1,4.0,1.0,1.0,91.327,90.099,89.40899999999999
5,7.0,20,1017,2019,Ferrari,France,0,1,7.0,1.0,1.0,91.075,89.506,89.799
6,6.0,832,1017,2019,McLaren,France,0,1,6.0,1.0,1.0,91.073,90.319,89.52199999999999
7,12.0,8,1017,2019,Alfa Romeo,France,0,1,12.0,1.0,0.0,90.972,90.533,
8,13.0,807,1017,2019,Renault,France,0,1,13.0,1.0,0.0,90.865,90.544,
9,5.0,846,1017,2019,McLaren,France,0,1,5.0,1.0,1.0,90.989,90.019,89.418
10,9.0,842,1017,2019,Toro Rosso,France,0,1,9.0,1.0,1.0,91.152,90.421,90.184
11,8.0,817,1017,2019,Renault,France,0,1,8.0,1.0,1.0,90.954,90.369,89.918
12,14.0,815,1017,2019,Racing Point,France,0,1,14.0,1.0,0.0,90.964,90.738,
13,17.0,840,1017,2019,Racing Point,France,0,1,18.0,0.0,0.0,91.726,,
14,19.0,826,1017,2019,Toro Rosso,France,0,1,16.0,0.0,0.0,91.564,,
15,11.0,848,1017,2019,Red Bull Racing,France,0,1,11.0,1.0,0.0,91.445,90.461,
16,10.0,841,1017,2019,Alfa Romeo,France,0,1,10.0,1.0,1.0,91.18,90.408,93.42
17,15.0,825,1017,2019,Haas,France,0,1,15.0,1.0,0.0,91.166,91.44,
18,18.0,9,1017,2019,Williams,France,0,1,20.0,0.0,0.0,93.205,,
19,20.0,847,1017,2019,Williams,France,0,1,19.0,0.0,0.0,92.789,,
21,16.0,154,1017,2019,Haas,France,0,1,17.0,0.0,0.0,91.626,,
1,2.0,830,1018,2019,Red Bull Racing,Austria,0,1,3.0,1.0,1.0,63.807,63.835,63.439
2,1.0,844,1018,2019,Ferrari,Austria,0,1,1.0,1.0,1.0,64.138,63.378,63.003
3,3.0,822,1018,2019,Mercedes,Austria,0,1,4.0,1.0,1.0,64.084,63.863,63.537
4,9.0,20,1018,2019,Ferrari,Austria,0,1,10.0,1.0,0.0,64.43,63.667,
5,4.0,1,1018,2019,Mercedes,Austria,0,1,2.0,1.0,1.0,63.818,63.803,63.262
6,5.0,846,1018,2019,McLaren,Austria,0,1,6.0,1.0,1.0,64.361,64.211,64.099
7,8.0,842,1018,2019,Toro Rosso,Austria,0,1,9.0,1.0,1.0,64.412,63.988,64.199
8,19.0,832,1018,2019,McLaren,Austria,0,1,15.0,1.0,0.0,64.453,73.601,
9,6.0,8,1018,2019,Alfa Romeo,Austria,0,1,7.0,1.0,1.0,64.615,64.056,64.166
10,7.0,841,1018,2019,Alfa Romeo,Austria,0,1,8.0,1.0,1.0,64.45,64.194,64.179
11,13.0,815,1018,2019,Racing Point,Austria,0,1,16.0,0.0,0.0,64.789,,
12,12.0,817,1018,2019,Renault,Austria,0,1,14.0,1.0,0.0,64.647,64.79,
13,15.0,807,1018,2019,Renault,Austria,0,1,12.0,1.0,0.0,64.733,64.516,
14,14.0,840,1018,2019,Racing Point,Austria,0,1,17.0,0.0,0.0,64.832,,
15,18.0,848,1018,2019,Red Bull Racing,Austria,0,1,13.0,1.0,0.0,64.708,64.665,
16,11.0,154,1018,2019,Haas,Austria,0,1,11.0,1.0,0.0,64.55199999999999,64.49,
17,16.0,826,1018,2019,Toro Rosso,Austria,0,1,18.0,0.0,0.0,65.324,,
18,20.0,847,1018,2019,Williams,Austria,0,1,19.0,0.0,0.0,65.904,,
19,10.0,825,1018,2019,Haas,Austria,0,1,5.0,1.0,1.0,64.778,64.466,64.072
20,17.0,9,1018,2019,Williams,Austria,0,1,20.0,0.0,0.0,66.206,,
1,2.0,1,1019,2019,Mercedes,Great Britain,1,1,2.0,1.0,1.0,85.513,85.84,85.099
2,1.0,822,1019,2019,Mercedes,Great Britain,1,1,1.0,1.0,1.0,85.75,85.672,85.093
3,3.0,844,1019,2019,Ferrari,Great Britain,1,1,3.0,1.0,1.0,85.533,85.54599999999999,85.172
4,5.0,842,1019,2019,Toro Rosso,Great Britain,1,1,5.0,1.0,1.0,86.273,86.038,85.59
5,4.0,830,1019,2019,Red Bull Racing,Great Britain,1,1,4.0,1.0,1.0,85.7,85.848,85.276
6,13.0,832,1019,2019,McLaren,Great Britain,1,1,13.0,1.0,0.0,86.203,86.578,
7,7.0,817,1019,2019,Renault,Great Britain,1,1,7.0,1.0,1.0,86.428,86.283,86.182
8,12.0,8,1019,2019,Alfa Romeo,Great Britain,1,1,12.0,1.0,0.0,86.55799999999999,86.54599999999999,
9,17.0,826,1019,2019,Toro Rosso,Great Britain,1,1,17.0,0.0,0.0,86.721,,
10,10.0,807,1019,2019,Renault,Great Britain,1,1,10.0,1.0,1.0,86.568,86.39699999999999,86.386
11,8.0,846,1019,2019,McLaren,Great Britain,1,1,8.0,1.0,1.0,86.07900000000001,86.385,86.224
12,9.0,848,1019,2019,Red Bull Racing,Great Britain,1,1,9.0,1.0,1.0,86.482,86.40299999999999,86.345
13,18.0,840,1019,2019,Racing Point,Great Britain,1,1,18.0,0.0,0.0,86.762,,
14,19.0,847,1019,2019,Williams,Great Britain,1,1,19.0,0.0,0.0,87.789,,
15,20.0,9,1019,2019,Williams,Great Britain,1,1,20.0,0.0,0.0,88.257,,
16,6.0,20,1019,2019,Ferrari,Great Britain,1,1,6.0,1.0,1.0,85.898,86.023,85.787
17,15.0,815,1019,2019,Racing Point,Great Britain,1,1,15.0,1.0,0.0,86.649,86.928,
21,11.0,841,1019,2019,Alfa Romeo,Great Britain,1,1,11.0,1.0,0.0,86.449,86.519,
21,14.0,154,1019,2019,Haas,Great Britain,1,1,14.0,1.0,0.0,86.34700000000001,86.757,
21,16.0,825,1019,2019,Haas,Great Britain,1,1,16.0,0.0,0.0,86.662,,
1,2.0,830,1020,2019,Red Bull Racing,Germany,1,0,2.0,1.0,1.0,72.593,72.42699999999999,72.113
2,20.0,20,1020,2019,Ferrari,Germany,1,0,20.0,0.0,0.0,,,
3,14.0,826,1020,2019,Toro Rosso,Germany,1,0,14.0,1.0,0.0,73.278,73.135,
4,15.0,840,1020,2019,Racing Point,Germany,1,0,15.0,1.0,0.0,73.256,73.45,
5,7.0,832,1020,2019,McLaren,Germany,1,0,7.0,1.0,1.0,73.221,72.632,72.897
6,16.0,848,1020,2019,Red Bull Racing,Germany,1,0,17.0,0.0,0.0,73.461,,
7,6.0,154,1020,2019,Haas,Germany,1,0,6.0,1.0,1.0,73.146,72.769,72.851
8,12.0,825,1020,2019,Haas,Germany,1,0,12.0,1.0,0.0,73.103,72.789,
9,1.0,1,1020,2019,Mercedes,Germany,1,0,1.0,1.0,1.0,72.852,72.149,71.767
10,18.0,9,1020,2019,Williams,Germany,1,0,19.0,0.0,0.0,74.839,,
11,17.0,847,1020,2019,Williams,Germany,1,0,18.0,0.0,0.0,74.721,,
12,5.0,8,1020,2019,Alfa Romeo,Germany,1,0,5.0,1.0,1.0,73.066,72.519,72.538
13,11.0,841,1020,2019,Alfa Romeo,Germany,1,0,11.0,1.0,0.0,73.17,72.786,
14,4.0,842,1020,2019,Toro Rosso,Germany,1,0,4.0,1.0,1.0,72.991,72.385,72.522
21,3.0,822,1020,2019,Mercedes,Germany,1,0,3.0,1.0,1.0,73.075,72.424,72.129
21,9.0,807,1020,2019,Renault,Germany,1,0,9.0,1.0,1.0,73.186,72.766,73.126
21,10.0,844,1020,2019,Ferrari,Germany,1,0,10.0,1.0,0.0,72.229,72.344,
21,19.0,846,1020,2019,McLaren,Germany,1,0,16.0,0.0,0.0,73.333,,
21,13.0,817,1020,2019,Renault,Germany,1,0,13.0,1.0,0.0,73.131,72.799,
21,8.0,815,1020,2019,Racing Point,Germany,1,0,8.0,1.0,1.0,73.194,72.776,73.065
1,3.0,1,1021,2019,Mercedes,Hungary,0,1,3.0,1.0,1.0,76.068,75.548,74.769
2,1.0,830,1021,2019,Red Bull Racing,Hungary,0,1,1.0,1.0,1.0,75.81700000000001,75.57300000000001,74.572
3,5.0,20,1021,2019,Ferrari,Hungary,0,1,5.0,1.0,1.0,76.452,75.885,75.071
4,4.0,844,1021,2019,Ferrari,Hungary,0,1,4.0,1.0,1.0,76.337,75.792,75.043
5,8.0,832,1021,2019,McLaren,Hungary,0,1,8.0,1.0,1.0,76.493,76.30799999999999,75.852
6,6.0,842,1021,2019,Toro Rosso,Hungary,0,1,6.0,1.0,1.0,76.71600000000001,76.393,75.45
7,10.0,8,1021,2019,Alfa Romeo,Hungary,0,1,10.0,1.0,1.0,76.506,76.518,76.041
8,2.0,822,1021,2019,Mercedes,Hungary,0,1,2.0,1.0,1.0,76.078,75.669,74.59
9,7.0,846,1021,2019,McLaren,Hungary,0,1,7.0,1.0,1.0,76.697,76.06,75.8
10,12.0,848,1021,2019,Red Bull Racing,Hungary,0,1,12.0,1.0,0.0,76.912,76.687,
11,16.0,815,1021,2019,Racing Point,Hungary,0,1,17.0,0.0,0.0,77.10900000000001,,
12,11.0,807,1021,2019,Renault,Hungary,0,1,11.0,1.0,0.0,76.78999999999999,76.565,
13,14.0,825,1021,2019,Haas,Hungary,0,1,15.0,1.0,0.0,76.122,77.081,
14,20.0,817,1021,2019,Renault,Hungary,0,1,18.0,0.0,0.0,77.257,,
15,13.0,826,1021,2019,Toro Rosso,Hungary,0,1,13.0,1.0,0.0,76.75,76.69200000000001,
16,15.0,847,1021,2019,Williams,Hungary,0,1,16.0,0.0,0.0,77.031,,
17,18.0,840,1021,2019,Racing Point,Hungary,0,1,19.0,0.0,0.0,77.542,,
18,17.0,841,1021,2019,Alfa Romeo,Hungary,0,1,14.0,1.0,0.0,76.894,76.804,
19,19.0,9,1021,2019,Williams,Hungary,0,1,20.0,0.0,0.0,78.324,,
21,9.0,154,1021,2019,Haas,Hungary,0,1,9.0,1.0,1.0,76.97800000000001,76.319,76.013
1,1.0,844,1022,2019,Ferrari,Belgium,0,1,1.0,1.0,1.0,103.587,102.938,102.519
2,3.0,1,1022,2019,Mercedes,Belgium,0,1,3.0,1.0,1.0,105.26,103.592,103.282
3,4.0,822,1022,2019,Mercedes,Belgium,0,1,4.0,1.0,1.0,105.141,103.98,103.415
4,2.0,20,1022,2019,Ferrari,Belgium,0,1,2.0,1.0,1.0,104.109,103.037,103.267
5,17.0,848,1022,2019,Red Bull Racing,Belgium,0,1,14.0,1.0,0.0,105.528,105.799,
6,7.0,815,1022,2019,Racing Point,Belgium,0,1,9.0,1.0,1.0,105.732,104.707,104.706
7,19.0,826,1022,2019,Toro Rosso,Belgium,0,1,18.0,0.0,0.0,106.518,,
8,12.0,807,1022,2019,Renault,Belgium,0,1,7.0,1.0,1.0,105.899,104.549,104.542
9,13.0,842,1022,2019,Toro Rosso,Belgium,0,1,16.0,0.0,0.0,106.435,,
10,16.0,840,1022,2019,Racing Point,Belgium,0,1,13.0,1.0,0.0,106.0,105.047,
11,11.0,846,1022,2019,McLaren,Belgium,0,1,12.0,1.0,0.0,106.154,104.847,
12,8.0,825,1022,2019,Haas,Belgium,0,1,10.0,1.0,1.0,105.839,104.738,105.086
13,9.0,154,1022,2019,Haas,Belgium,0,1,11.0,1.0,0.0,105.694,104.797,
14,10.0,817,1022,2019,Renault,Belgium,0,1,6.0,1.0,1.0,105.56,104.103,104.257
15,14.0,847,1022,2019,Williams,Belgium,0,1,19.0,0.0,0.0,107.548,,
16,6.0,8,1022,2019,Alfa Romeo,Belgium,0,1,8.0,1.0,1.0,105.842,104.14,104.557
17,20.0,9,1022,2019,Williams,Belgium,0,1,20.0,0.0,0.0,,,
18,18.0,841,1022,2019,Alfa Romeo,Belgium,0,1,15.0,0.0,0.0,105.637,,
21,15.0,832,1022,2019,McLaren,Belgium,0,1,17.0,0.0,0.0,106.507,,
21,5.0,830,1022,2019,Red Bull Racing,Belgium,0,1,5.0,1.0,1.0,104.622,104.132,103.69
1,1.0,844,1023,2019,Ferrari,Italy,0,1,1.0,1.0,1.0,80.126,79.553,79.307
2,3.0,822,1023,2019,Mercedes,Italy,0,1,3.0,1.0,1.0,80.156,80.018,79.354
3,2.0,1,1023,2019,Mercedes,Italy,0,1,2.0,1.0,1.0,80.27199999999999,79.464,79.346
4,5.0,817,1023,2019,Renault,Italy,0,1,5.0,1.0,1.0,80.374,79.833,79.839
5,6.0,807,1023,2019,Renault,Italy,0,1,6.0,1.0,1.0,80.155,80.275,80.049
6,8.0,848,1023,2019,Red Bull Racing,Italy,0,1,8.0,1.0,0.0,80.382,80.021,
7,18.0,815,1023,2019,Racing Point,Italy,0,1,17.0,0.0,0.0,81.291,,
8,19.0,830,1023,2019,Red Bull Racing,Italy,0,1,20.0,0.0,0.0,,,
9,10.0,841,1023,2019,Alfa Romeo,Italy,0,1,11.0,1.0,0.0,80.657,80.517,
10,16.0,846,1023,2019,McLaren,Italy,0,1,14.0,1.0,0.0,80.646,81.068,
11,17.0,842,1023,2019,Toro Rosso,Italy,0,1,15.0,1.0,0.0,80.508,81.125,
12,9.0,840,1023,2019,Racing Point,Italy,0,1,9.0,1.0,0.0,80.643,80.498,
